customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age_class
21,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,40-49
22,Deeanne,Durtnell,Female,79,Safety Technician I,IT,Mass Customer,No,11,60-69
23,Olav,Polak,Male,43,Safety Technician I,IT,High Net Worth,Yes,1,20-29
24,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15,40-49
25,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,40-49
26,Trixi,Ginnelly,Female,12,Editor,Financial Services,Mass Customer,Yes,16,40-49
27,Garvin,Klees,Male,37,Research Nurse,Health,Mass Customer,Yes,12,40-49
28,Fee,Zellmer,Male,5,Senior Quality Engineer,Health,Affluent Customer,Yes,21,50-59
29,Mona,Sancraft,Female,62,Safety Technician III,Manufacturing,Mass Customer,No,19,50-59
30,Darrick,Helleckas,Male,18,Safety Technician III,IT,Affluent Customer,Yes,6,60-69
31,Star,Praton,Female,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,14,60-69
32,Marion,Vanichkin,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4,20-29
33,Ernst,Hacon,Male,44,Product Engineer,Manufacturing,Affluent Customer,Yes,11,60-69
35,Margaretha,Strettle,Female,40,Information Systems Manager,Health,High Net Worth,Yes,16,60-69
36,Lurette,Stonnell,Female,33,VP Quality Control,Health,Affluent Customer,No,22,40-49
37,Laurie,Dwerryhouse,Female,46,Social Worker,Health,High Net Worth,No,16,30-39
38,Cordi,Merman,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,60-69
39,Hunfredo,Smalley,Male,5,Assistant Media Planner,Entertainment,Mass Customer,No,22,40-49
40,Tomasine,Jerche,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,40-49
41,Basilius,Coupe,Male,64,Food Chemist,Health,Mass Customer,No,16,40-49
42,Chiquita,Durnall,Female,24,Accountant III,Manufacturing,Mass Customer,No,18,40-49
43,Indira,Belt,Female,38,Director of Sales,Retail,Mass Customer,No,5,40-49
44,Neron,Verick,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,40-49
45,Trace,Woodhead,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,No,8,40-49
46,Kaila,Allin,Female,98,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,15,50-59
47,Matthew,Jeaycock,Male,51,Registered Nurse,Health,Affluent Customer,No,2,30-39
48,Rebbecca,Casone,Female,46,Biostatistician II,Health,Mass Customer,Yes,8,40-49
49,Nolly,Ownsworth,Male,63,VP Quality Control,Health,Affluent Customer,No,1,30-39
50,Whitby,Schapero,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16,40-49
51,Fidelio,Dilke,Male,68,Computer Systems Analyst II,Retail,Mass Customer,No,18,60-69
52,Curran,Bentson,Male,57,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,13,30-39
53,Agnella,Gocke,Female,22,Software Test Engineer II,Financial Services,Mass Customer,No,16,70-79
54,Loralyn,Wonfor,Female,2,Sales Associate,Property,Mass Customer,Yes,18,50-59
55,Linc,Jillions,Male,48,Paralegal,Financial Services,Affluent Customer,Yes,7,60-69
56,Reese,Ensor,Male,44,VP Sales,Property,Mass Customer,Yes,4,20-29
57,Abba,Masedon,Male,87,Chief Design Engineer,Property,Mass Customer,Yes,13,30-39
58,Dalenna,Pinnock,Female,26,Office Assistant III,Financial Services,Affluent Customer,Yes,17,50-59
59,Niki,Heathcote,Male,60,Physical Therapy Assistant,Financial Services,High Net Worth,No,3,20-29
60,Nadiya,Champerlen,Female,18,Physical Therapy Assistant,Manufacturing,Mass Customer,No,10,50-59
61,Kacey,Rowbottom,Female,47,Help Desk Operator,Property,High Net Worth,No,13,60-69
62,Sorcha,Roggers,Female,38,Help Desk Operator,IT,Mass Customer,Yes,22,40-49
63,Ebony,Zini,Female,58,Senior Quality Engineer,Retail,Mass Customer,Yes,16,50-59
64,Gerek,Yve,Male,73,Legal Assistant,IT,High Net Worth,No,4,40-49
65,Yale,Tanser,Male,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,40-49
66,Anselm,Gawne,Male,46,Account Executive,Argiculture,High Net Worth,No,1,20-29
67,Vernon,Vernon,Male,67,Web Developer II,Retail,Mass Customer,No,18,60-69
68,Dahlia,Eddoes,Female,37,Information Systems Manager,Retail,Affluent Customer,No,9,50-59
69,Heidi,Milner,Female,16,Web Developer II,Retail,Mass Customer,No,6,50-59
70,Foster,Vannoort,Male,78,Paralegal,Financial Services,Affluent Customer,No,8,30-39
71,Hoyt,Glavias,Male,30,Research Associate,Argiculture,Affluent Customer,Yes,12,30-39
72,Sammy,Cheese,Male,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,50-59
73,Minette,Worters,Female,16,Teacher,Manufacturing,Affluent Customer,Yes,5,60-69
74,Pansy,Kiddie,Female,94,Teacher,Manufacturing,Mass Customer,Yes,6,50-59
75,Dollie,Sealy,Female,28,VP Product Management,Property,Mass Customer,No,19,40-49
76,Rea,Hasser,Female,20,Statistician II,Retail,High Net Worth,Yes,18,40-49
77,Shermie,Andrin,Male,79,Automation Specialist IV,Financial Services,Mass Customer,No,7,30-39
78,Arch,Van der Kruis,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,30-39
79,Tybi,Silliman,Female,76,Account Executive,Manufacturing,Mass Customer,No,18,50-59
80,Pablo,Small,Male,11,Data Coordiator,Entertainment,Mass Customer,No,13,40-49
81,Bee,Blazewicz,Female,58,Data Coordiator,Health,High Net Worth,No,13,30-39
82,Gleda,Cokely,Female,93,Software Test Engineer III,Property,High Net Worth,No,19,50-59
83,Kerr,Simmell,Male,97,Internal Auditor,IT,Mass Customer,Yes,18,50-59
84,Rich,Mathiasen,Male,78,Accountant III,IT,Mass Customer,Yes,14,60-69
85,Kane,Tixall,Male,1,Analyst Programmer,IT,Mass Customer,No,8,60-69
86,Job,Sleney,Male,75,Occupational Therapist,Health,High Net Worth,Yes,7,30-39
87,Fields,Langdon,Male,78,Editor,Financial Services,Mass Customer,No,8,50-59
88,Malynda,Tumber,Female,41,Help Desk Operator,Property,High Net Worth,Yes,7,50-59
89,Benedicto,Hoxey,Male,74,Speech Pathologist,Health,Mass Customer,Yes,14,50-59
90,Cary,Garron,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,No,11,30-39
91,Dylan,Meaker,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,60-69
92,Jodee,Judkins,Female,98,Recruiting Manager,Health,Mass Customer,No,12,40-49
93,Gordon,Gowar,Male,63,Project Manager,Retail,Mass Customer,Yes,10,40-49
94,Wallache,Simchenko,Male,33,Civil Engineer,Manufacturing,Mass Customer,No,21,50-59
95,Nomi,Mallinder,Female,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,8,60-69
96,Heath,Olford,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,50-59
97,Arne,Corain,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,40-49
98,Allianora,Babalola,Female,19,Safety Technician IV,Health,Mass Customer,No,7,60-69
99,Reggie,Mulliner,Male,97,VP Accounting,Financial Services,Mass Customer,No,3,20-29
100,Tripp,Steed,Male,80,General Manager,Financial Services,Mass Customer,Yes,4,50-59
101,Goran,Kwietek,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,No,11,40-49
102,Langsdon,Tranfield,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,60-69
103,Ethyl,Runham,Female,49,Product Engineer,Financial Services,Affluent Customer,Yes,4,20-29
104,Odille,Panketh,Female,40,Automation Specialist II,Health,Mass Customer,Yes,9,40-49
105,Maribeth,Pristnor,Female,25,Recruiting Manager,Manufacturing,Mass Customer,No,1,20-29
106,Glyn,Glyn,Male,54,Software Test Engineer III,Health,High Net Worth,Yes,18,50-59
107,Pris,Stallebrass,Female,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,30-39
108,Kayle,Mingaud,Female,4,Nurse Practicioner,Financial Services,High Net Worth,No,3,30-39
109,Cody,Blabey,Male,16,Marketing Assistant,Financial Services,Affluent Customer,Yes,4,40-49
110,Sascha,St. Quintin,Male,23,Marketing Assistant,Financial Services,Affluent Customer,No,1,20-29
111,Cele,Evason,Female,65,Analyst Programmer,Financial Services,Mass Customer,No,2,30-39
112,Shena,Parren,Female,88,Marketing Manager,Retail,High Net Worth,No,12,40-49
113,Gage,Nickless,Male,67,Staff Scientist,Retail,Mass Customer,No,20,60-69
114,Sunny,Swindells,Female,10,Teacher,Entertainment,Affluent Customer,No,8,30-39
115,Alberik,Mereweather,Male,77,Account Executive,Health,Mass Customer,No,18,40-49
116,Scottie,Swiffen,Male,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,20-29
117,Nance,Suttling,Female,75,Marketing Manager,Manufacturing,Mass Customer,No,15,40-49
118,Prentice,Pearmain,Male,43,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,No,19,60-69
119,Willey,Chastanet,Male,9,Associate Professor,Manufacturing,High Net Worth,Yes,9,40-49
120,Sloan,Wagg,Male,80,Legal Assistant,Financial Services,High Net Worth,Yes,4,40-49
121,Myles,Pauncefort,Male,82,Graphic Designer,Manufacturing,Mass Customer,No,15,60-69
122,Colver,Itter,Male,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,40-49
123,Almeta,Kalinsky,Female,85,Analyst Programmer,Financial Services,High Net Worth,No,15,30-39
124,Kath,Cunney,Female,27,Administrative Assistant II,Health,High Net Worth,Yes,5,20-29
125,Darrelle,Antoniewski,Female,94,Computer Systems Analyst II,Property,Mass Customer,No,16,60-69
126,Norman,Cliff,Male,53,Administrative Officer,Health,Mass Customer,Yes,3,30-39
127,Merrili,Whitear,Female,81,Compensation Analyst,Financial Services,Mass Customer,No,19,40-49
128,Isidro,Cypler,Male,73,Systems Administrator III,Property,Mass Customer,Yes,12,40-49
129,Weidar,Silkstone,Male,64,Financial Advisor,Financial Services,High Net Worth,Yes,19,30-39
130,Raddy,Delete,Male,32,Chemical Engineer,Manufacturing,Mass Customer,No,1,20-29
131,Jana,Renyard,Female,57,Administrative Officer,Retail,High Net Worth,No,8,50-59
132,Celesta,Willavoys,Female,5,Web Designer I,Manufacturing,Mass Customer,Yes,9,60-69
133,Eldridge,Fiddeman,Male,12,VP Accounting,Financial Services,Mass Customer,Yes,16,40-49
134,Merna,McCulloch,Female,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,20-29
135,Rosalia,Sigart,Female,18,Internal Auditor,IT,Mass Customer,No,3,40-49
136,Mel,Bennet,Male,46,Senior Developer,Manufacturing,High Net Worth,Yes,7,50-59
137,Vaughn,Artin,Male,27,Office Assistant II,Property,High Net Worth,No,10,30-39
138,Onofredo,Franc,Male,5,Recruiter,Financial Services,Affluent Customer,Yes,13,30-39
139,Gar,Gar,Male,1,Operator,Telecommunications,Affluent Customer,No,4,60-69
140,Morrie,Flaxon,Male,9,Programmer Analyst III,Manufacturing,Mass Customer,No,2,30-39
141,Townsend,Trobe,Male,67,Teacher,Financial Services,High Net Worth,Yes,10,70-79
142,Bentley,Fortesquieu,Male,57,Quality Engineer,Health,Affluent Customer,No,17,50-59
143,Kendall,Figg,Male,19,Operator,Argiculture,Mass Customer,Yes,11,60-69
144,Jory,Barrabeale,Female,71,Environmental Tech,IT,Mass Customer,No,12,60-69
145,Filippo,Ferrara,Male,33,Account Executive,Financial Services,Mass Customer,No,4,20-29
146,Ricoriki,Matlock,Male,34,Quality Control Specialist,Manufacturing,Mass Customer,No,8,30-39
147,Rea,Pattrick,Female,32,Analog Circuit Design manager,Health,Mass Customer,Yes,10,50-59
148,Jaquith,Maffey,Female,69,Programmer Analyst III,Health,Mass Customer,Yes,5,40-49
149,Drucy,Kausche,Female,41,Research Nurse,Health,Mass Customer,Yes,1,20-29
150,Bradly,Crosse,Male,6,Cost Accountant,Financial Services,Affluent Customer,No,17,40-49
151,Donnie,Brimson,Male,36,Marketing Manager,Manufacturing,Mass Customer,Yes,13,50-59
152,Stephana,Cardew,Female,5,Compensation Analyst,Financial Services,Mass Customer,No,16,40-49
153,Lorilyn,Walshe,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,12,40-49
154,Faydra,Dulieu,Female,90,Junior Executive,Entertainment,Mass Customer,No,11,60-69
155,Orran,Bogges,Male,4,Quality Engineer,Manufacturing,Mass Customer,No,10,30-39
156,Shayla,Rimmington,Female,23,Cost Accountant,Financial Services,Mass Customer,Yes,11,40-49
157,Chad,Houtby,Male,97,Financial Advisor,Financial Services,Affluent Customer,No,16,40-49
158,Hamlin,Odams,Male,99,Internal Auditor,Financial Services,Affluent Customer,No,5,30-39
159,Arin,Matskevich,Male,90,Research Nurse,Health,Affluent Customer,No,13,30-39
160,Wake,Durning,Male,5,Registered Nurse,Health,Mass Customer,No,18,60-69
161,Tadd,Bloss,Male,49,Registered Nurse,Health,Mass Customer,No,16,40-49
162,Port,Acuna,Male,90,Nurse Practicioner,IT,Mass Customer,No,15,40-49
163,Kessia,Helder,Female,58,Librarian,Entertainment,High Net Worth,Yes,14,40-49
164,Aarika,Van Vuuren,Female,55,Senior Editor,Retail,Affluent Customer,Yes,1,20-29
165,Aldon,Roelofs,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12,40-49
166,Elston,Oleszczak,Male,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6,60-69
167,Nathalie,Tideswell,Female,95,Structural Analysis Engineer,Health,High Net Worth,Yes,17,50-59
168,Reggie,Broggetti,Female,8,General Manager,IT,Affluent Customer,Yes,12,50-59
169,Alfy,Bruhnke,Male,20,Data Coordiator,Telecommunications,High Net Worth,Yes,5,60-69
170,Jammal,Gever,Male,80,Pharmacist,Health,High Net Worth,No,21,40-49
171,Halli,Davidoff,Female,62,Assistant Manager,Manufacturing,Mass Customer,No,10,50-59
172,Hilton,Carney,Male,54,Editor,Manufacturing,Affluent Customer,Yes,6,30-39
173,Ebba,Hanselmann,Female,99,General Manager,Health,Affluent Customer,No,1,20-29
174,Catie,Tosspell,Female,93,Food Chemist,Health,Mass Customer,No,12,30-39
175,Templeton,Hambrook,Male,36,Quality Engineer,Manufacturing,Affluent Customer,No,5,40-49
176,Angelo,Clayal,Male,39,Accountant I,Property,Mass Customer,No,10,30-39
177,Ondrea,Pablos,Female,25,Professor,Financial Services,High Net Worth,No,4,30-39
178,Matthieu,Bertelmot,Male,2,Professor,Financial Services,Affluent Customer,No,8,50-59
179,Esteban,Sewill,Male,23,Environmental Tech,Manufacturing,High Net Worth,Yes,6,50-59
180,Trisha,Neasham,Female,16,Web Designer III,Argiculture,Affluent Customer,No,14,50-59
181,Pavla,Braunle,Female,49,Senior Editor,Manufacturing,Mass Customer,No,9,40-49
182,Lydon,Dahlman,Male,99,Sales Associate,Financial Services,Affluent Customer,Yes,7,30-39
183,Dannie,Hissie,Female,7,Geologist III,Retail,Affluent Customer,No,3,20-29
184,Nappie,Paolo,Male,40,Marketing Manager,Manufacturing,High Net Worth,Yes,7,50-59
185,Crosby,Walcot,Male,80,Marketing Manager,Property,Mass Customer,Yes,13,40-49
186,Mireielle,Jeppe,Female,46,Software Test Engineer I,Financial Services,Mass Customer,No,3,50-59
187,Pincas,Ather,Male,97,Structural Engineer,Financial Services,Mass Customer,No,11,70-79
188,Audry,Seine,Female,54,Safety Technician II,Property,High Net Worth,Yes,13,40-49
189,Umberto,Torricella,Male,73,Safety Technician I,Financial Services,Affluent Customer,No,10,40-49
190,Hayley,Girardengo,Female,42,Registered Nurse,Health,Affluent Customer,No,10,40-49
191,Christopher,Heining,Male,22,Help Desk Operator,Health,Affluent Customer,Yes,6,60-69
192,Goldi,Osler,Female,2,Junior Executive,Health,Mass Customer,Yes,8,40-49
193,Foss,Hardes,Male,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,12,60-69
194,Ursala,Ferrai,Female,4,Web Developer III,Financial Services,Affluent Customer,No,10,40-49
195,Talyah,Rylatt,Female,34,Project Manager,Manufacturing,Mass Customer,No,6,60-69
196,Swen,Odhams,Male,90,Programmer Analyst II,Manufacturing,High Net Worth,No,6,50-59
197,Avis,Avis,Female,32,Programmer Analyst II,Manufacturing,High Net Worth,No,5,40-49
198,Vanya,Gumb,Female,82,Assistant Media Planner,Entertainment,Mass Customer,No,16,40-49
199,Verla,Alven,Female,61,Junior Executive,Health,Mass Customer,Yes,21,40-49
200,Hube,Weald,Male,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,19,60-69
201,Salem,Huie,Male,45,Design Engineer,Manufacturing,Mass Customer,Yes,11,50-59
202,Audie,Pillinger,Female,38,Librarian,Entertainment,Affluent Customer,Yes,16,60-69
203,Donovan,Conry,Male,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11,60-69
204,Thorny,Hackworth,Male,56,Editor,Financial Services,Mass Customer,No,5,40-49
205,Rolfe,Kellard,Male,18,Administrative Assistant II,Financial Services,Mass Customer,Yes,6,60-69
206,Mari,Chevolleau,Female,98,Statistician I,Financial Services,Mass Customer,Yes,14,70-79
207,Adena,Whyman,Female,9,Statistician I,Financial Services,Mass Customer,No,7,30-39
208,Rutter,Excell,Male,57,Office Assistant III,Property,High Net Worth,No,5,20-29
209,Udall,Bellard,Male,9,Analog Circuit Design manager,Property,Affluent Customer,Yes,6,60-69
210,Albrecht,Thomasson,Male,50,Assistant Manager,Property,Mass Customer,No,18,60-69
211,Beitris,Beitris,Female,6,VP Marketing,Manufacturing,Mass Customer,Yes,5,50-59
212,Nanice,Ellse,Female,21,Desktop Support Technician,IT,Affluent Customer,No,1,20-29
213,Lockwood,Exroll,Male,13,Actuary,Financial Services,High Net Worth,Yes,6,20-29
214,Jeramie,Cellier,Male,82,Food Chemist,Health,Mass Customer,No,6,60-69
215,Debera,Foxworthy,Female,37,Assistant Professor,Retail,High Net Worth,Yes,18,50-59
216,Cinderella,Parcall,Female,12,Quality Engineer,Financial Services,High Net Worth,Yes,7,20-29
217,Jeralee,Quartly,Female,63,Quality Engineer,Manufacturing,High Net Worth,No,16,40-49
218,Stefa,Dunnan,Female,37,Administrative Officer,Property,High Net Worth,Yes,8,30-39
219,Markus,Mughal,Male,9,Database Administrator III,Health,Mass Customer,No,7,50-59
220,Jeniffer,Apark,Female,79,Electrical Engineer,Manufacturing,High Net Worth,No,9,70-79
221,Mara,Bloore,Female,14,Tax Accountant,Manufacturing,Mass Customer,No,14,40-49
222,Nev,Larive,Male,89,Clinical Specialist,Health,Mass Customer,No,16,40-49
223,Ossie,Meaton,Male,13,VP Sales,Health,Affluent Customer,Yes,14,40-49
224,Morgun,Girvan,Male,2,Compensation Analyst,Financial Services,Affluent Customer,No,17,50-59
225,Brittaney,Pring,Female,84,Pharmacist,Health,Affluent Customer,No,13,40-49
226,Bondie,Letty,Male,96,Database Administrator IV,Manufacturing,Mass Customer,No,20,40-49
227,Wendall,McKeand,Male,99,Accountant I,Entertainment,Mass Customer,No,18,50-59
228,Lucia,Pickervance,Female,59,Systems Administrator II,Manufacturing,High Net Worth,No,12,30-39
229,Vaughn,Lambis,Male,30,Systems Administrator II,Property,High Net Worth,No,19,50-59
230,Maegan,Scyone,Female,74,Internal Auditor,Property,High Net Worth,No,11,70-79
231,Basile,Winsor,Male,48,Design Engineer,Financial Services,Mass Customer,Yes,3,20-29
232,Zaria,Koeppke,Female,94,Professor,Retail,Mass Customer,No,12,30-39
233,Art,Barwell,Male,34,Environmental Tech,Property,Mass Customer,No,13,30-39
234,Mead,Alpes,Female,71,Chief Design Engineer,Retail,High Net Worth,No,12,50-59
235,Leona,Phateplace,Female,30,Social Worker,Health,Mass Customer,No,15,40-49
236,Tybalt,Gillingwater,Male,79,Research Nurse,Health,Affluent Customer,No,14,60-69
237,Reginald,Dartan,Male,18,Account Coordinator,Property,High Net Worth,Yes,11,50-59
238,Max,Bilborough,Male,54,Programmer III,Property,Mass Customer,Yes,14,40-49
239,Wells,Pressman,Male,62,Registered Nurse,Health,Affluent Customer,No,3,30-39
240,Gavin,Fawks,Male,49,Administrative Assistant III,IT,High Net Worth,Yes,15,30-39
241,Quillan,Duigan,Male,94,Quality Engineer,Entertainment,Mass Customer,No,20,30-39
242,Taite,Droghan,Male,17,Nurse,Property,Affluent Customer,No,8,30-39
243,Barbara,Croxley,Female,94,Teacher,Manufacturing,High Net Worth,Yes,14,40-49
244,Germayne,Sperry,Male,57,Teacher,Retail,Affluent Customer,No,8,40-49
245,Noell,Grahlmans,Female,6,Associate Professor,Financial Services,Affluent Customer,No,1,20-29
246,Binny,Whight,Female,63,Technical Writer,Manufacturing,High Net Worth,No,9,30-39
247,Kristal,Joysey,Female,62,Staff Accountant II,Financial Services,High Net Worth,Yes,13,40-49
248,Inger,Eskell,Female,76,Clinical Specialist,Health,Affluent Customer,Yes,12,40-49
249,D'arcy,Slay,Male,65,Quality Control Specialist,IT,High Net Worth,No,9,30-39
250,Kristofer,Kristofer,Male,53,Legal Assistant,Health,Mass Customer,Yes,13,30-39
251,Mala,Mala,Female,88,VP Sales,Financial Services,Affluent Customer,Yes,10,40-49
252,Anthea,Ruskin,Female,39,Account Coordinator,Property,Mass Customer,Yes,13,40-49
253,Amalee,Choak,Female,82,Food Chemist,Health,Mass Customer,Yes,1,20-29
254,Barbie,Rubi,Female,98,Information Systems Manager,Retail,Mass Customer,No,14,60-69
255,Keeley,Kruger,Female,2,Desktop Support Technician,IT,Mass Customer,No,5,70-79
256,Linell,Beadle,Female,16,Director of Sales,Health,High Net Worth,Yes,21,40-49
257,Marissa,Marissa,Female,70,Sales Associate,Manufacturing,Affluent Customer,Yes,19,50-59
258,Othella,Keher,Female,24,Administrative Officer,Manufacturing,High Net Worth,No,9,30-39
259,Venita,Dymick,Female,70,Senior Developer,Health,High Net Worth,Yes,3,40-49
260,Farand,Marriner,Female,47,Senior Quality Engineer,Health,High Net Worth,Yes,22,40-49
261,Marve,Pryn,Male,74,Structural Engineer,Health,Mass Customer,No,8,40-49
262,Cordie,Petrelli,Male,97,Structural Engineer,Health,High Net Worth,Yes,10,40-49
263,Tonia,Leigh,Female,89,Dental Hygienist,Health,High Net Worth,No,7,30-39
264,Jedd,Spiby,Male,31,Technical Writer,Health,Mass Customer,No,11,40-49
265,Pennie,Stoile,Male,74,Sales Representative,Retail,High Net Worth,Yes,18,50-59
266,Lelia,Garatty,Female,69,Account Executive,Retail,Affluent Customer,No,18,30-39
267,Edgar,Buckler,Female,53,Account Executive,IT,High Net Worth,No,1,30-39
268,Kacie,Kidston,Female,60,Chemical Engineer,Manufacturing,Mass Customer,No,10,40-49
269,Zacherie,Grindley,Male,55,Nurse Practicioner,Property,Mass Customer,Yes,9,60-69
270,Auberta,Roundtree,Female,38,Budget/Accounting Analyst III,Property,Mass Customer,Yes,17,50-59
271,Doll,Burtwell,Female,51,Financial Advisor,Financial Services,Mass Customer,No,4,30-39
272,Arlie,Crean,Female,22,Product Engineer,Retail,Mass Customer,Yes,1,30-39
273,Nevile,Abraham,Male,54,Computer Systems Analyst IV,Retail,Mass Customer,No,19,60-69
274,Tessi,Hesse,Female,66,Social Worker,Health,Mass Customer,Yes,14,40-49
275,Dud,Dud,Male,7,VP Sales,Health,High Net Worth,No,13,60-69
276,Goldi,Dwine,Female,47,VP Sales,Financial Services,Mass Customer,No,22,30-39
277,Jehanna,Alvarado,Female,69,VP Product Management,Financial Services,High Net Worth,No,15,60-69
278,Sydney,Georger,Male,22,Executive Secretary,Financial Services,Affluent Customer,Yes,4,20-29
279,Tamera,Hinckes,Female,0,Web Designer I,Manufacturing,Mass Customer,No,11,40-49
280,Welch,MacAllaster,Male,15,Geologist I,Manufacturing,Affluent Customer,Yes,5,20-29
281,Jeanette,Sizzey,Female,51,Cost Accountant,Financial Services,High Net Worth,Yes,8,50-59
282,Lauren,Curcher,Male,82,VP Quality Control,Argiculture,High Net Worth,Yes,11,30-39
283,Sari,Noye,Female,34,Assistant Manager,Retail,Mass Customer,No,2,30-39
284,Seth,Moorman,Male,38,Financial Analyst,Financial Services,High Net Worth,Yes,9,30-39
285,Julee,Janovsky,Female,3,Community Outreach Specialist,Manufacturing,Mass Customer,No,12,40-49
286,Kiley,Canaan,Male,99,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11,30-39
287,Hannie,Wodham,Female,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,4,30-39
288,Ebenezer,Seedman,Male,71,Nuclear Power Engineer,Manufacturing,High Net Worth,No,9,30-39
289,Modestia,Lithgow,Female,43,Clinical Specialist,Health,High Net Worth,No,10,50-59
290,Giorgio,Kevane,Female,42,Senior Sales Associate,IT,Mass Customer,No,14,50-59
291,Aime,Burston,Female,63,Assistant Media Planner,Entertainment,Mass Customer,No,4,50-59
292,Gelya,Gerant,Female,42,VP Product Management,Entertainment,Affluent Customer,Yes,9,60-69
293,Virgilio,Willcocks,Male,80,Administrative Assistant III,Manufacturing,Mass Customer,Yes,20,30-39
294,Magnum,Slowan,Male,39,Recruiting Manager,Manufacturing,High Net Worth,No,5,60-69
295,Lena,Chape,Female,64,Database Administrator II,Manufacturing,Mass Customer,Yes,18,50-59
296,Marshal,Rathbone,Male,34,Database Administrator II,Health,High Net Worth,Yes,17,50-59
297,Cecile,MacLise,Female,33,Electrical Engineer,Manufacturing,High Net Worth,No,16,60-69
298,Maurise,Lenglet,Male,69,Engineer I,Manufacturing,High Net Worth,No,9,60-69
299,Corabelle,Hartnell,Female,80,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes,7,60-69
